Postcode,Average total income or loss
2000,0.4543408699492477
2007,-0.6136794505501263
2008,0.2766217923694187
2009,0.9633835158094475
2010,1.1013639253004186
2011,1.844457633845921
2015,0.7814385701109008
2016,0.6542748322265554
2017,0.25146043081852226
2018,-0.020119442315575116
2019,0.27321008232861915
2020,-0.18616892077857855
2021,2.9216663097960844
2022,1.4140393966532374
2023,5.379299391572468
2024,2.7638747204091074
2025,4.1265039568179755
2026,1.6375064043256053
2027,5.705040161604258
2028,7.1498993638828505
2029,2.3345032578880325
2030,5.105509660798308
2031,1.3093619294923433
2032,0.08075862048170132
2033,0.4408103380828951
2034,1.488980709253981
2035,0.6312845588834405
2036,0.25293366924523114
2037,0.859403898429626
2038,1.4206689695734274
2039,1.769593860109741
2040,1.1842529715189338
2041,2.6293447903912175
2042,0.543045331010035
2043,0.9453169603661228
2044,0.2572758456607942
2045,1.3865130997331503
2046,0.9820703821692811
2047,1.4511029739146502
2048,0.7244475046566362
2049,0.525870472509192
2050,0.7958995683520169
2060,2.211100154935023
2061,3.051466369075593
2062,1.9232371202425642
2063,4.293600209952587
2064,1.0031221838983053
2065,1.5850901318805946
2066,1.678524463679763
2067,0.45158824025723904
2068,2.3873072246558613
2069,2.4301086778949825
2070,2.03008567561124
2071,1.9019914713521309
2072,1.2600472116298775
2073,1.8370526722800948
2074,1.6993436488150964
2075,1.2207350072961196
2076,1.3085477714144251
2077,-0.017056657165311916
2079,0.1684938457354433
2080,0.018378603940264818
2081,0.21234207364617336
2082,0.17713942913428748
2083,-0.0012387287943323685
2084,1.4949124323930985
2085,0.5250175449989921
2086,0.6598188610428546
2087,0.8532783281290995
2088,4.4309215390947685
2089,1.8054555849704175
2090,2.502685055126536
2092,3.2831524963917054
2093,1.8998979220089132
2094,1.8315861823283592
2095,2.715490468921405
2096,1.49708352060088
2097,0.8009395945486526
2099,0.31124289539707733
2100,0.49140444721066057
2101,0.5627402026091958
2102,0.6093410602119346
2103,0.5177288917300114
2104,1.6528978689414848
2105,1.7503642216979618
2106,1.339408239510748
2107,1.0965952851297556
2108,3.5819872804199173
2110,4.991760146483469
2111,1.170567361923454
2112,0.27383039324512815
2113,0.22517475573145332
2114,0.017099212674965
2115,-0.14895026578803844
2116,-0.2307925373349449
2117,-0.14503455312757538
2118,-0.24331506396197036
